"RMSD","rpart","rf","glm","nnet"
4.454,2.72804949381328,2.99397278666579,2.39589160055702,2.04700296063401
4.322,3.31133126410835,3.32128823420144,2.21962608742164,2.12263373092019
0,2.72804949381328,0.897098911387632,2.23596124910621,1.89982749542815
4.524,3.31133126410835,3.97337745408382,2.2031628934114,2.03364534688094
2.504,3.31133126410835,2.57077340780542,2.73258713769297,2.62401965096174
0,1.51139138943249,1.2995510601827,2.38676246932309,2.15625578169468
0,2.72804949381328,0.4127097,2.44422256540682,2.09842567512475
2.034,2.29595709123758,2.17395904939203,2.46083622281056,2.78786760989235
2.885,3.31133126410835,2.76632113324643,2.67078998643507,2.45042691428352
2.136,2.72804949381328,2.36560045189092,2.46397368155476,2.16614363695528
3.869,3.02447697756789,3.43969000017893,1.81460882260786,1.72317377996391
3.342,3.34545454545455,3.46963086332931,2.41803192424332,2.51347326717977
1.917,3.31133126410835,1.94175990048943,1.71386026081633,1.5356650001428
3.513,2.72804949381328,2.81375664972467,2.55191142520797,2.66735532293683
0,2.29595709123758,0.847132524885621,2.26502396409975,1.87841478146024
2.6,2.72804949381328,3.33344822378283,2.47467898147319,2.91035853492816
4.796,2.66391133004926,3.51457742179314,2.91287461187706,2.90211392529998
4.978,3.31133126410835,3.79053963583408,2.71742039628828,2.49425005380285
3.062,1.22688235294118,2.61332615936101,2.35078513184232,2.10194157760589
0,3.02447697756789,0.404082233333333,1.79731537122984,1.83992981163229
0,2.72804949381328,1.76438677361787,2.46386501331514,2.87040801054889
0,1.22688235294118,0.126324333333333,2.6304328979226,2.32082438936694
2.623,3.31133126410835,3.37461429091334,1.9669269312146,2.79436404238565
4.661,3.02447697756789,3.77301943357277,2.29556140126634,2.19265602444546
4.949,2.72804949381328,4.33939687177067,2.57359546059127,3.029190498975
4,2.72804949381328,2.31934105448566,2.73876953399019,2.54130118268579
0,3.31133126410835,1.24817778333333,2.34596686440354,2.054832275204
4.381,3.31133126410835,3.77385944685195,2.34250354156231,2.88661945383264
2.95,2.72804949381328,3.30645717572531,2.49220954188561,2.92724572684416
3.736,2.29595709123758,2.61083234343498,2.71913333814259,3.09580374081526
4.764,3.02447697756789,4.7104355031104,2.37805003352115,2.26659274980247
3.66,1.51139138943249,3.28746336066409,2.60484129787918,2.4954839367449
0,0.960083521444696,0.0418160999999998,2.50430367677233,2.46471487868363
1.455,0.863292011019284,1.3783669662212,2.13958619213884,1.89924604261514
0,2.72804949381328,0.327687701149425,2.70993422615546,2.40160369419749
3.414,3.42495319148936,3.32728455071364,1.53561318138385,1.81548541510823
4.253,2.94931991525424,4.25749981820265,2.00901852909687,1.81600758757496
1.584,2.29595709123758,1.56964065282619,2.52012155310437,2.80065607449015
0,2.72804949381328,0.713884466666666,2.23594691833574,2.68965036794566
4.567,0.960083521444696,4.71504047865846,2.33604863337839,2.49752689927074
2.639,2.72804949381328,2.65488698977937,2.52165178015238,3.04397950064538
4.961,2.72804949381328,4.18128021156346,2.69457761454484,3.10115527416466
3.49,3.31133126410835,3.45429587317917,2.43140532270979,2.90933797574228
3.125,3.31133126410835,3.46388601943514,2.61141026878989,3.10919303328776
3.085,3.31133126410835,3.60850246503722,2.46567684033746,2.95224261593617
0,1.22688235294118,0.132723133333333,2.50087162407783,2.20130004075305
3.269,3.02447697756789,3.69080046453077,2.10472994501529,2.04436229007909
2.554,2.94931991525424,2.28505776171011,2.65180897775937,2.42859875032026
0,0.960083521444696,0.260926633333333,1.74666281554047,1.84808030389556
2.504,2.29595709123758,2.6540561586385,2.60788412220068,2.99688308153676
4.034,2.72804949381328,3.10133441002886,2.87533106586007,2.5017616523367
3.595,2.29595709123758,3.55259320191138,2.50798427507979,2.06769673411253
0,0.11473164556962,0.0622399999999996,1.66807401982095,1.56436307155876
0,1.22688235294118,0.1150708,2.42976164794134,2.12441671540019
1.643,2.72804949381328,2.1725558186873,2.47274458054453,2.17610416187934
3.561,3.42495319148936,3.73407994861098,1.98069318138811,2.32412773813412
4.335,2.72804949381328,2.75596800198413,2.40977092085447,2.10058731070842
3.455,3.42495319148936,2.99021148408076,1.27118244691457,1.54659113365474
4.305,3.02447697756789,4.22742597819782,2.47237749006574,2.36935259896395
0,3.02447697756789,0.830941082758621,2.12691377098951,2.01718491436638
1.758,2.72804949381328,2.30305606523035,2.44094800440486,2.14060970151509
4.016,2.29595709123758,1.92921276739192,2.45397259588969,2.79768972610379
3.499,2.72804949381328,3.01324351666666,2.53280061092138,2.24538222363662
0,0.863292011019284,0.2270729,2.50716813119139,2.30054948289446
1.535,2.29595709123758,1.54838066685653,2.45615385522141,2.72980818169322
0,2.29595709123758,1.83474636533872,2.48875554775078,2.76657214062435
2.213,3.02447697756789,2.19977927658453,1.58272467868657,1.78331428476457
0,1.27369603524229,0.493574933333333,2.47521088744512,2.32733014257975
2.131,2.72804949381328,2.0346142276717,2.45410386900388,2.59057105384061
0,3.02447697756789,1.82030276666805,2.3012747024654,2.16372509770389
3.17,2.94931991525424,2.99785021692678,2.24949260631056,2.06697502211498
0,1.27369603524229,0.272006247368421,2.15560223661942,2.00583893965907
3.535,3.31133126410835,3.22120810997863,2.79182982117736,2.68293440430431
4.771,0.960083521444696,4.73524251080614,2.35501916265313,2.51806162504635
1.681,2.29595709123758,1.78971226344287,2.84329013846226,2.4380990190738
2.034,3.31133126410835,2.60556979268181,2.52221202207385,2.42913321006363
0,2.72804949381328,1.60099302382388,2.50581460607414,2.92473261234721
0,0.11473164556962,0.223810033333333,1.81318451272534,1.92993031229916
4.03,2.29595709123758,3.68192974255338,2.56716781609206,2.36121265620063
4.586,0.863292011019284,0.591744024708625,2.38052975429933,2.15275946486608
3.455,2.72804949381328,2.46794860385955,2.7231431929649,3.02913764428573
1.007,2.29595709123758,1.27103696623189,2.36752724233513,1.66663130451593
2.493,3.31133126410835,2.64205438355319,2.91578502815878,2.71942636428272
2.497,2.72804949381328,2.67194798005552,2.46102547604172,2.97253190011774
0,1.22688235294118,0.393583566666667,2.32008853709398,1.92377391522421
2.203,2.29595709123758,2.32109016658764,2.34089130975746,2.65650489527085
4.119,3.42495319148936,3.9142574065988,1.75500957229057,2.05931932197552
4.547,3.31133126410835,3.85019026836954,2.10981702464238,1.93412942621543
